filename,cluster
IMG_0415.jpeg,-1
IMG_0416.jpeg,-1
WIN_20250428_09_11_26_Pro.jpg,0
WIN_20250428_09_11_32_Pro.jpg,0
WIN_20250428_09_11_39_Pro.jpg,0
WIN_20250428_09_12_37_Pro.jpg,0
WIN_20250428_09_12_39_Pro.jpg,0
WIN_20250428_09_12_42_Pro.jpg,0
WIN_20250428_09_12_45_Pro.jpg,0
WIN_20250428_09_12_50_Pro.jpg,0
WIN_20250428_09_13_13_Pro.jpg,0
WIN_20250428_09_13_32_Pro.jpg,0
WIN_20250428_09_13_48_Pro.jpg,-1
WIN_20250428_09_14_42_Pro.jpg,0
WIN_20250428_09_14_45_Pro.jpg,0
WIN_20250428_09_14_48_Pro.jpg,0
WIN_20250428_09_14_50_Pro.jpg,0
WIN_20250428_09_14_59_Pro.jpg,0
WIN_20250428_09_15_01_Pro.jpg,0
WIN_20250428_09_15_09_Pro.jpg,0
WIN_20250428_09_15_20_Pro.jpg,0
WIN_20250428_09_15_23_Pro.jpg,0
WIN_20250428_09_15_33_Pro.jpg,0
WIN_20250428_09_15_36_Pro.jpg,0
WIN_20250428_09_15_38_Pro.jpg,0
WIN_20250428_09_15_49_Pro.jpg,0
